source,sourceId,name,slug,amenity,category,areaHint,address,latitude,longitude,phone,website,instagram,imageUrl,imageSource,imageStatus,realImageUrl,fallbackCoverImage,openingHours,cuisine,internetAccess,hasWifiSignal,wfcScore,curationStatus,notes
openstreetmap,node/11064518681,Altilis Coffee,altilis-coffee,cafe,coffee_shop,Sleman,"Jalan Baru Mulungan, 88, Sleman",-7.7273582,110.3646145,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,Mo-Su 11:00-23:00,coffee_shop;asian;indonesian,wlan,true,4,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/6097924119,Amongcoffee,amongcoffee,cafe,coffee_shop,Sleman,"Jalan Nusa Indah, Blok B 12, Sleman",-7.776361,110.3457892,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,Mo-Su 09:00-18:00,coffee_shop,yes,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/10603443058,Anak Panah Kopi,anak-panah-kopi,cafe,coffee_shop,,,-7.7872561,110.3530087,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,pizza;coffee_shop;daerahregional;international,wlan,true,4,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,way/1365294278,Anargya Koffie,anargya-koffie,cafe,cafe,Daerah Istimewah Yogyakarta,"Jl. Ir Bugiskso, brengosan, donoharjo, Daerah Istimewah Yogyakarta",-7.6905372,110.3861147,082241934863,https://www.instagram.com/anargya.koffie?igsh=ZzRtaDl3ZTV2YXNy&utm_source=qr,,/dataset-images/wfc-cafe.svg,fallback-cover,fallback,,/dataset-images/wfc-cafe.svg,Mo-Su 11:00-22:00,coffee_shop;brunch;indonesian,wlan,true,4,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/12022137218,Angop Coffee,angop-coffee,cafe,coffee_shop,,,-7.7610385,110.4468264,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/12357566598,ARSY COFFEE,arsy-coffee,cafe,coffee_shop,,,-7.750871,110.3662923,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/6507784886,Awor Gallery & Coffee,awor-gallery-coffee,cafe,coffee_shop,,Jalan Cornelis Simanjuntak,-7.780282,110.3734817,+62 821 3561 8881,https://www.facebook.com/awor.gallery,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,Mo-Su 09:00-00:00,coffee_shop,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/12022137215,Bangun Djaya Coffee,bangun-djaya-coffee,cafe,coffee_shop,,,-7.7600667,110.4471156,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,way/1016776292,Basabasi Nologaten,basabasi-nologaten,cafe,cafe,"Nologaten Caturtunggal, Depok Sleman Yogyakarta","Jalan Jatempanol, Nologaten Caturtunggal, Depok Sleman Yogyakarta",-7.7782358,110.3993962,,,,/dataset-images/wfc-cafe.svg,fallback-cover,fallback,,/dataset-images/wfc-cafe.svg,,,wlan,true,4,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/5595948421,Believe Coffee,believe-coffee,cafe,coffee_shop,,,-7.8197785,110.3674541,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/9704544334,belikopi.,belikopi,cafe,coffee_shop,,,-7.7640881,110.4114839,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,way/362687911,Bento Kopi Reserve,bento-kopi-reserve,cafe,coffee_shop,Pogung Kidul,"Jalan Pandega Marta, Pogung Kidul",-7.7561698,110.3737982,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,coffee_shop,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,way/1016776293,Bento Nologaten,bento-nologaten,cafe,cafe,"Nologaten Caturtunggal, Depok Sleman Yogyakarta","Jalan Jatempanol, Nologaten Caturtunggal, Depok Sleman Yogyakarta",-7.7783948,110.399829,,,,/dataset-images/wfc-cafe.svg,fallback-cover,fallback,,/dataset-images/wfc-cafe.svg,,,wlan,true,4,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,way/362388248,Bilik Kopi,bilik-kopi,cafe,coffee_shop,,,-7.7161353,110.4065766,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/7972742685,Bincang Kopi,bincang-kopi,cafe,coffee_shop,,"Jalan Cik Di Tiro, 36",-7.7780601,110.3759366,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,Mo-Su 17:30-23:30,coffee_shop;indonesian;noodles;tea,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/3621462268,BlackBone Coffee,blackbone-coffee,cafe,coffee_shop,,,-7.7606603,110.3819646,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/12583061751,Bumi Seduh Coffee,bumi-seduh-coffee,cafe,coffee_shop,,,-7.828852,110.3802925,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,,,,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,way/510477802,Cafe Kopi Sedaya,cafe-kopi-sedaya,cafe,coffee_shop,,,-7.7312856,110.3833689,,,,/dataset-images/wfc-coffee.svg,fallback-cover,fallback,,/dataset-images/wfc-coffee.svg,16:00-24:00,,yes,false,2,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
openstreetmap,node/12965873082,Crônica Creative Workspace,cronica-creative-workspace,,coworking_space,Yogyakarta,"Jalan A.M. Sangaji, 62, Yogyakarta",-7.7755597,110.3681831,,https://antologi.group/cronica/,antologispace,https://antologi.group/wp-content/themes/anto/assets/img/Moshi_images/Moshi_red.png,website-og-image,scraped,https://antologi.group/wp-content/themes/anto/assets/img/Moshi_images/Moshi_red.png,/dataset-images/wfc-coworking.svg,Mo-Su 07:00-22:00,,wlan,true,5,needs_review,"Candidate from OpenStreetMap. Verify WFC quality manually: wifi, sockets, ambience, seating, and current operating status."
